OBJECTID,SiteName,SiteNumber,Longitude,Latitude,Region,Sampling_Type,Location_Notes,x,y
175,Robe Long Beach South Town End,6000052,139.781,-37.165,Ad hoc - South East,Karenia counts,,139.781,-37.165
176,Pt. Clinton 1,6000056,138.01483,-34.229,Ad hoc - Yorke Peninsula,Karenia counts,,138.01483,-34.2289999999999
177,Pt. Clinton 2,6000057,138.01613,-34.22914,Ad hoc - Yorke Peninsula,Karenia counts,,138.01613,-34.22914
178,Pt. Clinton 3,6000058,138.01423,-34.2299,Ad hoc - Yorke Peninsula,Karenia counts,,138.01423,-34.2298999999999
179,Coorong (COR-4A),4000031,138.99736944,-35.62632389,Regional - Coorong,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site COR-4A,138.997369444,-35.6263238889999
180,Coorong (COR-12A),4000032,139.32745333,-35.85587944,Regional - Coorong,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site COR-12A,139.327453333,-35.855879444
181,Moana 1 Fish Kill,6000059,138.47021,-35.20121,Ad hoc - metropolitan,Karenia counts,,138.47021,-35.2012099999999
182,Moana 2 Fish Kill,6000060,138.47031,-35.20215,Ad hoc - metropolitan,Karenia counts,,138.47031,-35.20215
183,Moana 3 Fish Kill,6000061,138.47011,-35.20061,Ad hoc - metropolitan,Karenia counts,,138.47011,-35.20061
184,North Brighton 1 Fish Kill,6000062,138.51614,-35.03103,Ad hoc - metropolitan,Karenia counts,,138.51614,-35.0310299999999
185,North Brighton 2 Fish Kill,6000063,138.51615,-35.02991,Ad hoc - metropolitan,Karenia counts,,138.51615,-35.02991
186,North Brighton 3 Fish Kill,6000064,138.51624,-35.03196,Ad hoc - metropolitan,Karenia counts,,138.51624,-35.03196
187,Coorong (COR-2A),4000033,138.91596365,-35.58039054,Regional - Coorong,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site COR-2A,138.91596365,-35.5803905399999
188,Vivonne Bay,2000019,137.18470155,-35.99569941,Ad hoc - Kangaroo Island,Quick scan (presence of potentially harmful species),,137.184701547,-35.9956994089999
189,Coorong (COR-1M),4000034,138.88048059,-35.55664412,Ad hoc - Coorong,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site COR-1M,138.88048059,-35.5566441199999
190,Port Clinton Fishkill 1,6000070,138.0281,-34.2287,Ad hoc - Yorke Peninsula,Karenia counts,,138.0281,-34.2286999999999
191,Port Clinton Fishkill 2,6000071,138.029,-34.26103,Ad hoc - Yorke Peninsula,Karenia counts,,138.029,-34.2610299999999
192,Port Clinton Fishkill 3,6000072,138.0296,-34.2275,Ad hoc - Yorke Peninsula,Karenia counts,,138.0296,-34.2275
193,Christies Beach Fishkill 1,6000065,138.4703,-35.1317,Ad hoc - metropolitan,Karenia counts,,138.4703,-35.1317
194,Christies Beach Fishkill 2,6000066,138.47,-35.1333,Ad hoc - metropolitan,Karenia counts,,138.47,-35.1333
195,Christies Beach Fishkill 3,6000067,138.4692,-35.136,Ad hoc - metropolitan,Karenia counts,,138.4692,-35.136
196,Tailem Bend Fishkill 2,6000068,139.4539,-35.2569,Ad hoc - Coorong,Karenia counts,,139.4539,-35.2569
197,Tailem Bend Fishkill 3,6000069,139.4546,-35.2581,Ad hoc - Coorong,Karenia counts,,139.4546,-35.2581
198,Coorong (COR-2M),4000035,138.91306329,-35.58652278,Ad hoc - Coorong,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site COR-2M,138.91306329,-35.5865227799999
199,Coorong (COR-14A),4000036,139.386535,-35.910349,Ad hoc - Coorong,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site COR-14A,139.386535,-35.9103489999999
200,Henley Beach Jetty,1000026,138.49085,-34.9198,Metropolitan,Quick scan (presence of potentially harmful species),,138.49085,-34.9198
201,Washpool Rd Fishkill 1,6000073,139.43367,-35.2949,Ad hoc - Coorong,Karenia counts,,139.43367,-35.2949
202,Washpool Rd Fishkill 2,6000074,139.43071,-35.29609,Ad hoc - Coorong,Karenia counts,,139.43071,-35.2960899999999
